^FINANCIAL,10/20/2020,1186.21,1214.94,1185.73,1209.01,1344022,-23880
AUB,10/20/2020,44.9,44.9,44.5,44.9,8700,375400
BDO,10/20/2020,89.1,92.45,89.1,90.8,5484450,-35148749
BPI,10/20/2020,66.95,69,66.35,69,8879840,29022534
CHIB,10/20/2020,21.65,21.7,21.6,21.6,136400,-1278350
CSB,10/20/2020,8.19,8.19,8.19,8.19,100,0
EW,10/20/2020,9.17,9.35,9.17,9.27,745800,-2449039
MBT,10/20/2020,40.85,41.75,40.7,41.3,2640800,-9964005
PBB,10/20/2020,9.3,9.5,9.2,9.5,25900,0
PNB,10/20/2020,24.2,27,24.2,26.4,1577800,-5049065
PSB,10/20/2020,51.5,51.5,51.4,51.5,1530,0
PTC,10/20/2020,96.05,96.05,96,96,190,0
RCB,10/20/2020,16.96,17.14,16.88,17.08,132400,-1766536
SECB,10/20/2020,94,96.5,93.8,95.1,870640,2643947
UBP,10/20/2020,54.8,54.8,54.25,54.25,49690,-502705
COL,10/20/2020,26.6,27,26.6,26.7,25100,0
FAF,10/20/2020,0.56,0.58,0.56,0.58,20000,0
FERRO,10/20/2020,3.65,3.7,3.44,3.55,33000,0
I,10/20/2020,1.12,1.15,1.12,1.13,111000,0
MED,10/20/2020,0.31,0.31,0.3,0.3,670000,0
MFC,10/20/2020,748,748,748,748,10,7480
NRCP,10/20/2020,0.61,0.61,0.6,0.6,52000,-15000
PSE,10/20/2020,157.3,157.4,157.3,157.4,280,0
SLF,10/20/2020,1900,1900,1875,1875,165,243750
^INDUSTRIAL,10/20/2020,8129.68,8309.16,8125.94,8276.68,1543786,160744
ACEN,10/20/2020,3.51,3.62,3.51,3.56,17523000,16056550
ACR,10/20/2020,1.24,1.26,1.24,1.26,384000,0
AP,10/20/2020,26.25,26.4,25.95,26.15,1212800,-22031715
BSC,10/20/2020,0.187,0.23,0.18,0.196,30460000,-174200
FGEN,10/20/2020,26.25,26.3,25.5,26.1,1299600,5186345
FPH,10/20/2020,60,60.2,59.95,60,112480,-5437910
MER,10/20/2020,289.6,291.6,286,289.2,201020,-10580144
MWC,10/20/2020,14.1,14.16,14.02,14.02,1509900,-15244964
PCOR,10/20/2020,3.02,3.05,3.01,3.05,1755000,-2033020
PERC,10/20/2020,3.77,3.77,3.06,3.35,266000,16550
PNX,10/20/2020,14.9,14.9,12.6,13.46,4999600,163018
SHLPH,10/20/2020,16.36,16.36,16.22,16.24,432900,-3320118
SPC,10/20/2020,10.98,11,10.84,10.94,320600,200978
ANI,10/20/2020,7.76,7.77,7.49,7.71,198000,36908
AXLM,10/20/2020,2.83,2.83,2.75,2.8,2072000,214660
CAT,10/20/2020,11.8,11.8,11.5,11.5,10300,0
CNPF,10/20/2020,17.78,17.78,17.4,17.5,1651000,20426368
DELM,10/20/2020,4.98,4.98,4.8,4.97,35000,-34350
DNL,10/20/2020,5.87,6.03,5.86,6,11541600,-18849705
EMP,10/20/2020,9.88,9.91,9.84,9.9,3954800,-1008472
FB,10/20/2020,64.5,64.95,64.4,64.5,266850,-6133078
FOOD,10/20/2020,0.63,0.63,0.63,0.63,61000,0
FRUIT,10/20/2020,1.17,1.19,1.17,1.19,7193000,77270
